14:11:47 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 554162223, 'timeout': 20}" and files "None"
14:12:07 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
14:12:07 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 554162223, 'timeout': 20}" and files "None"
14:12:27 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
14:12:28 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 554162223, 'timeout': 20}" and files "None"
14:12:48 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
14:12:48 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 554162223, 'timeout': 20}" and files "None"
14:13:08 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
14:13:08 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 554162223, 'timeout': 20}" and files "None"
14:13:28 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
14:13:28 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 554162223, 'timeout': 20}" and files "None"
14:13:48 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
14:13:48 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 554162223, 'timeout': 20}" and files "None"
14:14:08 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
14:14:08 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 554162223, 'timeout': 20}" and files "None"
14:14:29 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
14:14:29 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 554162223, 'timeout': 20}" and files "None"
14:14:49 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
14:14:49 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 554162223, 'timeout': 20}" and files "None"
14:15:09 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
14:15:09 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 554162223, 'timeout': 20}" and files "None"
14:15:29 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
14:15:29 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 554162223, 'timeout': 20}" and files "None"
14:15:49 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
14:15:49 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 554162223, 'timeout': 20}" and files "None"
14:16:10 | DEBUG | check_result: 95 | Response for getUpdates: [200] "'{"ok":true,"result":[]}'"
14:16:10 | DEBUG | make_request: 133 | Make request: "getUpdates" with data: "{'offset': 554162223, 'timeout': 20}" and files "None"
